# Time, Ek_cd, Ep_cd, Etot_cd; Ek_cr, Ep_cr, Etot_cr
# Cloud: number of gas particles: 100000, total mass: 199999 MSun, virial radius: 50 pc;
# Cluster: number of stars: 5000, total mass: 10000 MSun, virial radius: 3 pc;
# Initial position of cluster: [-200, -200, 0] parsec; Initial velocity of cluster: [3, 3, 0] kms.
0.0,-56643.8089979,56644.8089979,0.999999999985,2.35136625521,-1.35136625521,1.0
1.0,-43674.5050644,56497.9021132,12823.3970488,2.33281374292,-1.31932479716,1.01348894576
2.0,-36382.5368352,56049.713849,19667.1770138,2.28062102573,-1.25467335773,1.025947668
3.0,-32383.6988174,55354.4071536,22970.7083361,2.25615186826,-1.21749393401,1.03865793425
4.0,-29673.5391765,54473.3728762,24799.8336998,2.28763794154,-1.23936693765,1.04827100389
5.0,-27663.5846056,53443.8778903,25780.2932847,2.3812266924,-1.32816071642,1.05306597598
6.0,-26193.9379545,52283.9575531,26090.0195986,2.3844214785,-1.31945986682,1.06496161168
7.0,-24981.7994632,51005.0584527,26023.2589895,2.33929823524,-1.26024513852,1.07905309672
8.0,-23951.6436754,49612.1866721,25660.5429967,2.34168736534,-1.25127770529,1.09040966005
9.0,-23169.6112744,48106.9895973,24937.3783229,2.36442768809,-1.26300901577,1.10141867232
10.0,-22664.6127909,46503.325482,23838.7126911,2.37007852458,-1.25331174378,1.1167667808
11.0,-22359.9507278,44838.1572794,22478.2065516,2.41597693327,-1.28926554706,1.12671138621
12.0,-22151.6672161,43158.6977057,21007.0304895,2.44219807596,-1.30230173355,1.13989634241
13.0,-21970.7228224,41506.2916868,19535.5688644,2.42012126592,-1.2618183473,1.15830291861
14.0,-21777.8981294,39909.5772399,18131.6791105,2.45492599474,-1.28712603011,1.16779996463
15.0,-21565.9159752,38385.5245426,16819.6085674,2.47751288816,-1.29103101315,1.18648187501
16.0,-21338.6712463,36942.6453396,15603.9740933,2.50378557158,-1.30276912519,1.20101644639
17.0,-21098.6996902,35583.8893222,14485.1896319,2.5144466024,-1.29637723483,1.21806936757
18.0,-20847.3132291,34308.6615215,13461.3482924,2.48001051472,-1.2397156322,1.24029488252
19.0,-20585.7240479,33114.1850173,12528.4609693,2.49677510975,-1.23959522731,1.25717988244
20.0,-20316.8305129,31996.3985362,11679.5680233,2.51678440749,-1.24133708853,1.27544731896
21.0,-20044.2727329,30950.6220569,10906.349324,2.54238268788,-1.24501744266,1.29736524522
22.0,-19769.2523855,29971.9480056,10202.6956201,2.60337706955,-1.2859095161,1.31746755345
23.0,-19493.6636486,29055.4868927,9561.82324414,2.64255924419,-1.30190527749,1.3406539667
24.0,-19219.5550509,28196.510975,8976.95592411,2.63832314601,-1.27413361949,1.36418952652
25.0,-18948.2233875,27390.5458398,8442.32245233,2.65470907329,-1.26374534711,1.39096372618
26.0,-18680.2191012,26633.4152867,7953.19618542,2.68563013902,-1.26986844588,1.41576169314
27.0,-18416.2496229,25921.2578701,7505.00824717,2.69266465345,-1.24864785062,1.44401680283
28.0,-18157.2143706,25250.5218018,7093.30743118,2.71137694086,-1.23706525845,1.47431168241
29.0,-17903.5835349,24617.9598111,6714.37627622,2.75045231349,-1.24676564329,1.50368667021
30.0,-17655.4819011,24020.6132522,6365.13135106,2.80282996125,-1.26975158122,1.53307838003
31.0,-17412.7696493,23455.7871873,6043.01753794,2.82249329499,-1.25269573477,1.56979756022
32.0,-17175.2954001,22921.0257754,5745.73037525,2.89529292713,-1.29179789632,1.60349503081
33.0,-16942.8649124,22414.0948902,5471.22997776,2.93567930631,-1.28972758189,1.64595172442
34.0,-16715.0154034,21932.9694157,5217.9540123,2.93274909638,-1.24069654457,1.69205255181
35.0,-16491.7967058,21475.8077088,4984.01100307,3.00985184074,-1.27864995738,1.73120188337
36.0,-16273.2292007,21040.9361717,4767.70697102,3.03724764577,-1.2631995646,1.77404808117
37.0,-16058.8560631,20626.833749,4567.97768589,3.06211665052,-1.24688633706,1.81523031346
38.0,-15848.2083022,20232.1223766,4383.91407443,3.10873527508,-1.25385690673,1.85487836835
39.0,-15641.2791414,19855.5451409,4214.26599946,3.16124572813,-1.2617657936,1.89947993453
40.0,-15438.0072122,19495.9548513,4057.94763912,3.22643663721,-1.28722054652,1.93921609069
41.0,-15237.9710918,19152.3072856,3914.33619377,3.248312459,-1.27067197072,1.97764048828
42.0,-15041.2422796,18823.6467178,3782.40443817,3.25863382733,-1.24761607957,2.01101774776
43.0,-14848.4191533,18509.0852757,3660.66612243,3.31469453366,-1.27192212523,2.04277240844
44.0,-14659.7243026,18207.8017474,3548.07744478,3.34047060029,-1.26879513239,2.0716754679
45.0,-14475.0425081,17919.0383761,3443.99586793,3.37263106274,-1.2749137082,2.09771735454
46.0,-14294.3883012,17642.0946067,3347.70630548,3.37527325965,-1.23711617996,2.13815707969
47.0,-14117.946715,17376.323186,3258.37647099,3.39181530685,-1.22490708828,2.16690821857
48.0,-13945.7218217,17121.1261857,3175.40436408,3.43864125101,-1.24783765248,2.19080359853
49.0,-13777.7724258,16875.9461556,3098.17372984,3.50428649762,-1.29770588446,2.20658061316
50.0,-13613.8262675,16640.2646091,3026.43834162,3.486933208,-1.2618240949,2.22510911309
51.0,-13454.1529497,16413.5981979,2959.44524816,3.48643391481,-1.24988782224,2.23654609256
52.0,-13298.6582469,16195.4903172,2896.83207027,3.50197188677,-1.25442110855,2.24755077822
53.0,-13147.0063407,15985.5091621,2838.50282132,3.50330098803,-1.25108391515,2.25221707287
