# Time, number of newly formed star, maxmium gas density (kg/m^3)
# Cloud: number of gas particles: 50000, total mass: 99999 MSun, virial radius: 10 pc;
# Cluster: number of stars: 10000, total mass: 20000 MSun, virial radius: 3 pc;
# Initial position of cluster: [-200, -200, 0] parsec; Initial velocity of cluster: [4.2426, 0.0, 0.0] kms.
# Jeans density of the cloud = 4.15708e-17 kg/m^3
0.0,0,3.12554e-17
1.0,0,8.39780e-18
2.0,0,8.90730e-18
3.0,0,9.50048e-18
4.0,0,9.41649e-18
5.0,0,9.62147e-18
6.0,0,9.87625e-18
7.0,0,9.99676e-18
8.0,0,1.00923e-17
9.0,0,1.03170e-17
10.0,0,1.04376e-17
11.0,0,1.05807e-17
12.0,0,1.06813e-17
13.0,0,1.07300e-17
14.0,0,1.07397e-17
15.0,0,1.07130e-17
16.0,0,1.07207e-17
17.0,0,1.07246e-17
18.0,0,1.07915e-17
19.0,0,1.07478e-17
20.0,0,1.07739e-17
21.0,0,1.08455e-17
22.0,0,1.08920e-17
23.0,0,1.08961e-17
24.0,0,1.08699e-17
25.0,0,1.08396e-17
26.0,0,1.08218e-17
27.0,0,1.08251e-17
28.0,0,1.08447e-17
29.0,0,1.08305e-17
30.0,0,1.08235e-17
31.0,0,1.08234e-17
32.0,0,1.08262e-17
33.0,0,1.08425e-17
34.0,0,1.08503e-17
35.0,0,1.08528e-17
36.0,0,1.08594e-17
37.0,0,1.08690e-17
38.0,0,1.08759e-17
39.0,0,1.08772e-17
40.0,0,1.08660e-17
41.0,0,1.08684e-17
42.0,0,1.08822e-17
43.0,0,1.09010e-17
44.0,0,1.09257e-17
45.0,0,1.09252e-17
46.0,0,1.09222e-17
47.0,0,1.09257e-17
48.0,0,1.09122e-17
49.0,0,1.09082e-17
50.0,0,1.09051e-17
51.0,0,1.08971e-17
52.0,0,1.08884e-17
53.0,0,1.08898e-17
54.0,0,1.08894e-17
55.0,0,1.08903e-17
56.0,0,1.08880e-17
57.0,0,1.08875e-17
58.0,0,1.08813e-17
59.0,0,1.08764e-17
60.0,0,1.08703e-17
61.0,0,1.08670e-17
62.0,0,1.08681e-17
63.0,0,1.08626e-17
64.0,0,1.08561e-17
65.0,0,1.08521e-17
66.0,0,1.08545e-17
67.0,0,1.08633e-17
68.0,0,1.08647e-17
69.0,0,1.08653e-17
70.0,0,1.08679e-17
71.0,0,1.08653e-17
72.0,0,1.08717e-17
73.0,0,1.08530e-17
74.0,0,1.08272e-17
75.0,0,1.08389e-17
76.0,0,1.08372e-17
77.0,0,1.08237e-17
78.0,0,1.08004e-17
79.0,0,1.07832e-17
80.0,0,1.07750e-17
81.0,0,1.08060e-17
82.0,0,1.08490e-17
83.0,0,1.08514e-17
84.0,0,1.08532e-17
85.0,0,1.08515e-17
86.0,0,1.08533e-17
87.0,0,1.08591e-17
88.0,0,1.08680e-17
89.0,0,1.08650e-17
90.0,0,1.08681e-17
91.0,0,1.08768e-17
92.0,0,1.08828e-17
93.0,0,1.08830e-17
94.0,0,1.08877e-17
95.0,0,1.08797e-17
96.0,0,1.08711e-17
97.0,0,1.08719e-17
98.0,0,1.08728e-17
99.0,0,1.08723e-17
100.0,0,1.08680e-17
