# Time, number of newly formed star, maxmium gas density (kg/m^3)
# Cloud: number of gas particles: 50000, total mass: 99999 MSun, virial radius: 10 pc;
# Cluster: number of stars: 10000, total mass: 20000 MSun, virial radius: 3 pc;
# Initial position of cluster: [-200, -200, 0] parsec; Initial velocity of cluster: [10, 10, 0] kms.
# Jeans density of the cloud = 4.15708e-17 kg/m^3
0.0,0,3.12554e-17
1.0,0,8.39779e-18
2.0,0,8.90733e-18
3.0,0,9.50046e-18
4.0,0,9.41624e-18
5.0,0,9.62138e-18
6.0,0,9.87651e-18
7.0,0,1.00061e-17
8.0,0,1.01314e-17
9.0,0,1.02756e-17
10.0,0,1.03917e-17
11.0,0,1.05934e-17
12.0,0,1.06490e-17
13.0,0,1.06988e-17
14.0,0,1.07461e-17
15.0,0,1.08242e-17
16.0,0,1.08395e-17
17.0,0,1.08655e-17
18.0,0,1.08785e-17
19.0,0,1.23091e-17
20.0,0,1.53396e-17
21.0,0,1.12864e-17
22.0,0,9.33213e-18
23.0,0,8.68133e-18
24.0,0,8.56546e-18
25.0,0,8.69662e-18
26.0,0,8.93558e-18
27.0,0,9.19918e-18
28.0,0,9.45621e-18
29.0,0,9.53293e-18
30.0,0,9.50680e-18
31.0,0,9.58571e-18
32.0,0,9.56850e-18
33.0,0,9.55340e-18
34.0,0,9.59167e-18
35.0,0,9.58869e-18
36.0,0,9.58118e-18
37.0,0,9.57140e-18
38.0,0,9.52306e-18
39.0,0,9.52491e-18
40.0,0,9.55844e-18
41.0,0,9.58209e-18
42.0,0,9.58465e-18
43.0,0,9.60820e-18
44.0,0,9.62190e-18
45.0,0,9.62008e-18
46.0,0,9.59313e-18
47.0,0,9.59343e-18
48.0,0,9.60135e-18
49.0,0,9.60945e-18
50.0,0,9.62573e-18
