
Begin Step 0, Time: 0, Systemstep: 0
Begin Step 94, Time: 0.00228882, Systemstep: 4.76837e-05

Begin Step 95, Time: 0.0023365, Systemstep: 4.76837e-05

Begin Step 96, Time: 0.00238419, Systemstep: 4.76837e-05

Begin Step 97, Time: 0.00243187, Systemstep: 4.76837e-05

Begin Step 98, Time: 0.00247955, Systemstep: 4.76837e-05

Begin Step 99, Time: 0.00252724, Systemstep: 4.76837e-05

Begin Step 100, Time: 0.00257492, Systemstep: 4.76837e-05

Begin Step 101, Time: 0.0026226, Systemstep: 4.76837e-05

Begin Step 102, Time: 0.00267029, Systemstep: 4.76837e-05

Begin Step 103, Time: 0.00271797, Systemstep: 4.76837e-05

Begin Step 104, Time: 0.00276566, Systemstep: 4.76837e-05

Begin Step 105, Time: 0.00281334, Systemstep: 4.76837e-05

Begin Step 106, Time: 0.00286102, Systemstep: 4.76837e-05

Begin Step 107, Time: 0.00295639, Systemstep: 9.53674e-05

Begin Step 108, Time: 0.00305176, Systemstep: 9.53674e-05

Begin Step 109, Time: 0.00314713, Systemstep: 9.53674e-05

Begin Step 110, Time: 0.00324249, Systemstep: 9.53674e-05

Begin Step 111, Time: 0.00333786, Systemstep: 9.53674e-05

Begin Step 112, Time: 0.00343323, Systemstep: 9.53674e-05

Begin Step 113, Time: 0.00352859, Systemstep: 9.53674e-05

Begin Step 114, Time: 0.00362396, Systemstep: 9.53674e-05

Begin Step 115, Time: 0.00371933, Systemstep: 9.53674e-05

Begin Step 116, Time: 0.0038147, Systemstep: 9.53674e-05

Begin Step 117, Time: 0.00391006, Systemstep: 9.53674e-05

Begin Step 118, Time: 0.00400543, Systemstep: 9.53674e-05

Begin Step 119, Time: 0.0041008, Systemstep: 9.53674e-05

Begin Step 120, Time: 0.00419617, Systemstep: 9.53674e-05

Begin Step 121, Time: 0.00429153, Systemstep: 9.53674e-05

Begin Step 122, Time: 0.0043869, Systemstep: 9.53674e-05

Begin Step 123, Time: 0.00448227, Systemstep: 9.53674e-05

Begin Step 124, Time: 0.00457764, Systemstep: 9.53674e-05

Begin Step 125, Time: 0.004673, Systemstep: 9.53674e-05

Begin Step 126, Time: 0.00476837, Systemstep: 9.53674e-05

Begin Step 127, Time: 0.00486374, Systemstep: 9.53674e-05

Begin Step 128, Time: 0.00495911, Systemstep: 9.53674e-05

Begin Step 129, Time: 0.00505447, Systemstep: 9.53674e-05

Begin Step 130, Time: 0.00514984, Systemstep: 9.53674e-05

Begin Step 131, Time: 0.00524521, Systemstep: 9.53674e-05

Begin Step 132, Time: 0.00534058, Systemstep: 9.53674e-05

Begin Step 133, Time: 0.00543594, Systemstep: 9.53674e-05

Begin Step 134, Time: 0.00553131, Systemstep: 9.53674e-05

Begin Step 135, Time: 0.00562668, Systemstep: 9.53674e-05

Begin Step 136, Time: 0.00572205, Systemstep: 9.53674e-05

Begin Step 137, Time: 0.00581741, Systemstep: 9.53674e-05

Begin Step 138, Time: 0.00591278, Systemstep: 9.53674e-05

Begin Step 139, Time: 0.00600815, Systemstep: 9.53674e-05

Begin Step 140, Time: 0.00610352, Systemstep: 9.53674e-05

Begin Step 141, Time: 0.00619888, Systemstep: 9.53674e-05

Begin Step 142, Time: 0.00629425, Systemstep: 9.53674e-05

Begin Step 143, Time: 0.00648499, Systemstep: 0.000190735

Begin Step 144, Time: 0.00658035, Systemstep: 9.53674e-05

Begin Step 145, Time: 0.00667572, Systemstep: 9.53674e-05

Begin Step 146, Time: 0.00677109, Systemstep: 9.53674e-05

Begin Step 147, Time: 0.00686646, Systemstep: 9.53674e-05

Begin Step 148, Time: 0.00696182, Systemstep: 9.53674e-05

Begin Step 149, Time: 0.00705719, Systemstep: 9.53674e-05

Begin Step 150, Time: 0.00715256, Systemstep: 9.53674e-05

Begin Step 151, Time: 0.00724792, Systemstep: 9.53674e-05

Begin Step 152, Time: 0.00743866, Systemstep: 0.000190735

Begin Step 153, Time: 0.00762939, Systemstep: 0.000190735

Begin Step 154, Time: 0.00782013, Systemstep: 0.000190735

Begin Step 155, Time: 0.00801086, Systemstep: 0.000190735

Begin Step 156, Time: 0.0082016, Systemstep: 0.000190735

Begin Step 157, Time: 0.00839233, Systemstep: 0.000190735

Begin Step 158, Time: 0.00858307, Systemstep: 0.000190735

Begin Step 159, Time: 0.0087738, Systemstep: 0.000190735

Begin Step 160, Time: 0.00896454, Systemstep: 0.000190735

Begin Step 161, Time: 0.00915527, Systemstep: 0.000190735

Begin Step 162, Time: 0.00934601, Systemstep: 0.000190735

Begin Step 163, Time: 0.00953674, Systemstep: 0.000190735

