# Time, number of newly formed star, maxmium gas density (kg/m^3)
# Cloud: number of gas particles: 50000, total mass: 99999 MSun, virial radius: 10 pc;
# Cluster: number of stars: 10000, total mass: 50000 MSun, virial radius: 3 pc;
# Initial position of cluster: [-200, -200, 0] parsec; Initial velocity of cluster: [3, 3, 0] kms.
# Jeans density of the cloud = 4.15708e-17 kg/m^3
0.0,0,3.12554e-17
1.0,0,8.39779e-18
2.0,0,8.90690e-18
3.0,0,9.50071e-18
4.0,0,9.41166e-18
5.0,0,9.60163e-18
6.0,0,9.90061e-18
7.0,0,1.00952e-17
8.0,0,1.03374e-17
9.0,0,1.04328e-17
10.0,0,1.05668e-17
11.0,0,1.06883e-17
12.0,0,1.06970e-17
13.0,0,1.06426e-17
14.0,0,1.06837e-17
15.0,0,1.07854e-17
16.0,0,1.08394e-17
17.0,0,1.08266e-17
18.0,0,1.08279e-17
19.0,0,1.07972e-17
20.0,0,1.07878e-17
21.0,0,1.08300e-17
22.0,0,1.08825e-17
23.0,0,1.09294e-17
24.0,0,1.09579e-17
25.0,0,1.09866e-17
26.0,0,1.09932e-17
27.0,0,1.10080e-17
28.0,0,1.10144e-17
29.0,0,1.10061e-17
30.0,0,1.10000e-17
31.0,0,1.09997e-17
32.0,0,1.09985e-17
33.0,0,1.09966e-17
34.0,0,1.09897e-17
35.0,0,1.09728e-17
36.0,0,1.09533e-17
37.0,0,1.09326e-17
38.0,0,1.09243e-17
39.0,0,1.09159e-17
40.0,0,1.09025e-17
41.0,0,1.09184e-17
42.0,0,1.09229e-17
43.0,0,1.09162e-17
44.0,0,1.09126e-17
45.0,0,1.09156e-17
46.0,0,1.08988e-17
47.0,0,1.09048e-17
48.0,0,1.09127e-17
49.0,0,1.09148e-17
50.0,0,1.09006e-17
51.0,0,1.08915e-17
52.0,0,1.08993e-17
53.0,0,1.09475e-17
54.0,0,5.48538e-17
55.0,197,5.76271e-17
56.0,738,4.90176e-17
57.0,1059,4.18226e-17
58.0,1061,1.15989e-17
59.0,1061,1.07366e-17
60.0,1061,1.02990e-17
61.0,1061,8.51976e-18
62.0,1061,1.04851e-17
63.0,1061,1.06345e-17
64.0,1061,9.14420e-18
65.0,1061,9.05188e-18
66.0,1061,1.00073e-17
67.0,1061,1.00735e-17
68.0,1061,9.08822e-18
69.0,1061,1.04134e-17
70.0,1061,1.03793e-17
71.0,1061,1.03048e-17
72.0,1061,1.04610e-17
73.0,1061,1.05593e-17
74.0,1061,1.13235e-17
75.0,1061,1.09605e-17
76.0,1061,1.13800e-17
77.0,1061,1.12928e-17
78.0,1061,1.16212e-17
79.0,1061,1.19283e-17
80.0,1061,1.18769e-17
81.0,1061,1.18594e-17
82.0,1061,1.17349e-17
83.0,1061,1.17895e-17
84.0,1061,1.18700e-17
85.0,1061,1.20401e-17
86.0,1061,1.20145e-17
87.0,1061,1.23045e-17
88.0,1061,1.20431e-17
89.0,1061,1.19516e-17
90.0,1061,1.22610e-17
91.0,1061,1.23061e-17
92.0,1061,1.22112e-17
93.0,1061,1.22892e-17
94.0,1061,1.23213e-17
95.0,1061,1.23225e-17
96.0,1061,1.23883e-17
97.0,1061,1.24497e-17
98.0,1061,1.22936e-17
99.0,1061,1.22883e-17
100.0,1061,1.20345e-17
101.0,1061,1.21069e-17
102.0,1061,1.24552e-17
103.0,1061,1.22919e-17
104.0,1061,1.25768e-17
105.0,1061,1.24443e-17
106.0,1061,1.24299e-17
107.0,1061,1.23840e-17
108.0,1061,1.23793e-17
109.0,1061,1.22267e-17
110.0,1061,1.23515e-17
111.0,1061,1.22626e-17
112.0,1061,1.23439e-17
113.0,1061,1.20645e-17
114.0,1061,1.20333e-17
115.0,1061,1.25503e-17
116.0,1061,1.21630e-17
117.0,1061,1.21524e-17
118.0,1061,1.23670e-17
119.0,1061,1.21983e-17
120.0,1061,1.23460e-17
